Molecule,Prior_Up_Down,Type,Organ,Species,PMID,ID
Jup,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ptpn1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Prkcd,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Slc30a1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Yrdc,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Appbp2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Frat1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rin2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mphosph6,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
H1f2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pfkfb3,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mir22hg,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Glt28d2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mrtfb,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rnf169,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mideas,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
H3f3b,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Srsf5,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Topors,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pnrc2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tns2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Sgk1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rbm48,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cwf19l2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pla2g4e,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Htra1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pgap3,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pag1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mafb,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Frat2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Zfp867,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mt1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mt2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cdkn1a,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Sox4,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Armcx5,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Fam117b,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mindy3,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Zbtb24,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Trp53inp1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cirbp,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tpst2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Miras,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hnrnpd,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Sertad2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Siah1b,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Orm3,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mtss1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rhob,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Arl4d,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gadd45b,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pdp1,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Bhlhe41,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Wasf2,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tiparp,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Nfkbia,Up,mRNA,Muscle,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Nr3c1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Tap1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ldlr,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Iigp1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Igtp,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gbp4,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ccnd1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gbp5,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Meox2,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gbp3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Egr3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pparg,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Mov10,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ranbp3l,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Kcnj8,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Bbc3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Foxs1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rasgrp4,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cdon,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Btnl2,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
G0s2,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Bcl9l,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Gata3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Peli3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rasa4,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Vamp5,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Star,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Ankrd1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Phkg1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Stat1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Irgm2,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hrh1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hoxb6,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Camkk1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hoxc6,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Hoxc4,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Apol10b,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Pik3cb,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Relb,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Nabp1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Irf1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Rasgrp3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Adrb3,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Irs1,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
Cbarp,Down,mRNA,WAT,Mouse (GFRAL),https://pubmed.ncbi.nlm.nih.gov/38507407/,Mouse_gene_symbol
